sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
1146.17;1146.17;1145.55;2.14857e-16;-1.60574e-15;-1.95752e-15;3.64;3.64;-0.731652;-3.28955e-17;-9.97145e-17;-9.66305e-17;0;0;0;0;0;0;2.91188;
1159.82;1159.82;1159.2;7.42573e-16;1.7045e-15;2.27412e-15;3.68;3.68;-0.733619;2.05597e-17;3.59794e-17;8.32667e-17;0;0;0;0;0;0;2.93985;
1173.49;1173.49;1172.86;5.0926e-16;2.96918e-16;-1.99747e-16;3.72;3.72;-0.735555;5.34552e-17;4.72873e-17;5.44832e-17;0;0;0;0;0;0;2.9678;
1187.15;1187.15;1186.53;2.10819e-16;-6.32623e-16;8.64688e-16;3.76;3.76;-0.737461;6.5791e-17;-1.02798e-18;1.19246e-16;0;0;0;0;0;0;2.99574;
1200.82;1200.82;1200.2;-3.1871e-16;-1.51163e-15;-2.63309e-15;3.8;3.8;-0.739337;4.11194e-17;-1.07938e-16;-7.91548e-17;0;0;0;0;0;0;3.02365;
1214.5;1214.5;1213.88;-8.69956e-16;2.33083e-15;2.97065e-16;3.84;3.84;-0.741185;-2.05597e-17;7.19589e-17;-4.11194e-17;0;0;0;0;0;0;3.05155;
1228.18;1228.18;1227.56;-4.11627e-16;1.45869e-17;1.3626e-15;3.88;3.88;-0.743004;-4.52313e-17;5.85951e-17;5.65391e-17;0;0;0;0;0;0;3.07942;
1241.87;1241.87;1241.24;7.78823e-17;-5.77109e-16;2.99126e-16;3.92;3.92;-0.744796;-3.70074e-17;1.64477e-17;6.99029e-17;0;0;0;0;0;0;3.10728;
1255.56;1255.56;1254.93;2.43762e-15;-3.03133e-15;-3.18289e-15;3.96;3.96;-0.746561;1.39806e-16;-2.00457e-16;-1.6345e-16;0;0;0;0;0;0;3.13512;
1269.26;1269.26;1268.63;-1.49145e-15;2.46041e-15;4.64946e-16;4;4;-0.7483;1.64477e-17;-3.08395e-18;-1.09994e-16;0;0;0;0;0;0;3.16294;
1255.14;1255.14;1255.77;1.89739e-15;-3.06238e-15;-3.96508e-16;3.96;3.96;-0.746561;1.39806e-16;-2.02513e-16;-1.36722e-16;0;0;0;0;0;0;3.18557;
1241.45;1241.45;1242.08;-2.27813e-15;2.27791e-15;2.30705e-15;3.92;3.92;-0.744796;-3.70074e-17;-1.85037e-17;3.28955e-17;0;0;0;0;0;0;3.21341;
1227.76;1227.76;1228.39;-3.08363e-16;1.03244e-15;3.25033e-16;3.88;3.88;-0.743004;-4.52313e-17;4.21474e-17;4.21474e-17;0;0;0;0;0;0;3.24127;
1214.08;1214.08;1214.71;3.14613e-16;5.00374e-16;-1.12305e-15;3.84;3.84;-0.741185;-2.05597e-17;7.19589e-17;-4.11194e-17;0;0;0;0;0;0;3.26915;
1200.41;1200.41;1201.04;8.80024e-16;-2.44533e-15;-6.22227e-16;3.8;3.8;-0.739337;4.11194e-17;-1.07938e-16;-7.91548e-17;0;0;0;0;0;0;3.29704;
1186.73;1186.73;1187.37;4.16864e-16;8.00654e-16;1.92434e-15;3.76;3.76;-0.737461;6.5791e-17;-3.49515e-17;6.3735e-17;0;0;0;0;0;0;3.32496;
1173.07;1173.07;1173.7;-2.12828e-15;5.66937e-16;-6.03814e-16;3.72;3.72;-0.735555;-9.04626e-17;1.02798e-18;8.22387e-18;0;0;0;0;0;0;3.35289;
1159.4;1159.4;1160.04;1.35598e-15;5.32997e-16;9.8815e-16;3.68;3.68;-0.733619;2.05597e-17;3.59794e-17;8.32667e-17;0;0;0;0;0;0;3.38084;
1145.75;1145.75;1146.39;-1.02396e-15;-1.57926e-15;-1.58295e-15;3.64;3.64;-0.731652;-6.16791e-17;-8.12108e-17;-3.70074e-17;0;0;0;0;0;0;3.40882;
1132.1;1132.1;1132.74;8.32052e-17;1.44752e-15;1.24753e-15;3.6;3.6;-0.729653;-4.93432e-17;3.28955e-17;6.2707e-17;0;0;0;0;0;0;3.43681;
1118.45;1118.45;1119.09;4.63811e-16;-4.4643e-16;-1.53392e-15;3.56;3.56;-0.727621;-1.64477e-17;-8.22387e-18;-5.55112e-17;0;0;0;0;0;0;3.46483;
1104.81;1104.81;1105.45;7.82346e-16;7.75472e-16;4.82073e-16;3.52;3.52;-0.725557;3.70074e-17;5.03712e-17;-1.13078e-17;0;0;0;0;0;0;3.49287;
1091.18;1091.18;1091.82;-1.01839e-15;4.23846e-16;1.11288e-15;3.48;3.48;-0.723458;-4.11194e-17;7.60708e-17;6.5791e-17;0;0;0;0;0;0;3.52093;
