sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
-12.7925;-12.6617;-13.4677;-2.93672e-18;-3.31713e-18;-1.12002e-15;-0.0646843;-0.0650556;0.0556028;2.27758e-19;-5.13627e-19;3.18023e-18;0.49216;0.626881;-1.11904;-4.72201e-18;6.30655e-19;-6.04138e-16;25.7976;
-17.7089;-17.5858;-18.191;5.38587e-20;-5.45659e-18;-6.498e-16;-0.0886623;-0.0896237;0.0764083;7.11174e-19;-9.39804e-19;9.13218e-18;0.430932;0.557384;-0.988317;-4.02167e-18;2.52186e-20;-5.76223e-16;25.9102;
-22.6865;-22.5748;-22.9423;-8.69114e-18;-6.63874e-19;-6.79427e-16;-0.112675;-0.11467;0.0974338;-9.03451e-19;-1.29496e-19;1.62349e-17;0.358992;0.475387;-0.83438;-4.28387e-18;-5.45015e-20;-5.49704e-16;26.0522;
-27.705;-27.6083;-27.7102;-1.02918e-17;1.01308e-17;-5.55747e-16;-0.136566;-0.140179;0.118605;-1.35405e-18;2.25023e-18;-2.16543e-17;0.279262;0.383876;-0.663138;-4.73771e-18;1.29294e-18;-5.07074e-16;26.2238;
-32.7429;-32.6642;-32.482;-5.94045e-18;1.11353e-17;-6.40712e-16;-0.160168;-0.166129;0.139842;-3.35038e-19;2.50971e-18;-1.23567e-17;0.194797;0.285946;-0.480743;-4.4855e-18;2.65332e-18;-4.80818e-16;26.4249;
-37.7771;-37.7198;-37.2439;-7.67856e-18;5.78841e-18;-5.31089e-16;-0.183302;-0.192501;0.161058;-9.4853e-19;9.20472e-19;-8.68469e-18;0.108605;0.18462;-0.293225;-4.56031e-18;2.90777e-18;-4.39585e-16;26.6555;
-42.7839;-42.751;-41.9806;-1.62747e-18;8.69949e-18;-6.85335e-16;-0.205783;-0.219268;0.182165;9.21889e-19;1.89428e-18;-2.61928e-17;0.0234883;0.0826819;-0.10617;-3.48584e-18;3.65905e-18;-4.35085e-16;26.9155;
-47.739;-47.7333;-46.6748;-8.27556e-18;9.09812e-18;-6.27688e-16;-0.227419;-0.246405;0.203067;-1.75188e-18;1.98753e-18;-2.08115e-17;-0.0580866;-0.0174487;0.0755354;-4.03609e-18;4.32171e-18;-4.1996e-16;27.2047;
-52.6174;-52.642;-51.3077;-1.35528e-17;1.66122e-17;-7.09353e-16;-0.248011;-0.273879;0.223667;-3.83523e-18;4.94754e-18;9.98409e-18;-0.134073;-0.113801;0.247874;-5.64027e-18;6.51564e-18;-4.2797e-16;27.5226;
-57.3942;-57.4519;-55.8591;-1.09081e-17;5.44061e-18;-6.68813e-16;-0.267361;-0.301657;0.243865;-2.35956e-18;-4.34064e-19;2.1111e-17;-0.202889;-0.204896;0.407785;-6.11017e-18;5.28805e-18;-4.24345e-16;27.869;
-62.0449;-62.1387;-60.3076;-1.0489e-17;2.2e-17;-7.07014e-16;-0.285271;-0.3297;0.263559;-2.1563e-18;8.118e-18;2.37825e-18;-0.263431;-0.289746;0.553177;-6.32166e-18;8.93716e-18;-4.33284e-16;28.2432;
-66.5452;-66.6781;-64.6308;1.61087e-18;1.71164e-17;-5.67538e-16;-0.301548;-0.357966;0.282649;4.14569e-18;4.3703e-18;2.55666e-17;-0.315039;-0.367824;0.682863;-2.96872e-18;9.81107e-18;-3.99726e-16;28.6445;
-70.8718;-71.0471;-68.8061;-5.62887e-18;2.36139e-17;-5.19168e-16;-0.316009;-0.386408;0.301036;-1.5401e-18;7.95656e-18;1.87727e-17;-0.357453;-0.439003;0.796456;-3.27226e-18;1.23716e-17;-3.66406e-16;29.0724;
-75.0028;-75.2238;-72.8112;5.83903e-19;1.55898e-17;-6.38489e-16;-0.328485;-0.414974;0.318625;2.3578e-18;2.06125e-18;-1.81406e-17;-0.390742;-0.503481;0.894223;-1.38811e-18;1.1153e-17;-3.88964e-16;29.5258;
-78.9175;-79.1878;-76.6244;8.26436e-18;7.21814e-18;-5.72331e-16;-0.338825;-0.443608;0.335328;6.37018e-18;-2.53128e-18;-5.00733e-18;-0.415232;-0.561701;0.976933;2.27966e-18;7.61537e-18;-3.78515e-16;30.0038;
